date,crime_type,crime_count
1/1/2015,DOMESTIC ABUSE,7580
1/1/2015,GUN CRIME,195
1/1/2015,HATE CRIME,3289
1/1/2015,KNIFE CRIME,1441
1/1/2015,LETHAL BARREL DISCHARGE,15
1/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,2524
2/1/2015,DOMESTIC ABUSE,6719
2/1/2015,GUN CRIME,167
2/1/2015,HATE CRIME,3298
2/1/2015,KNIFE CRIME,1380
2/1/2015,LETHAL BARREL DISCHARGE,16
2/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,2277
3/1/2015,DOMESTIC ABUSE,7703
3/1/2015,GUN CRIME,211
3/1/2015,HATE CRIME,3891
3/1/2015,KNIFE CRIME,1528
3/1/2015,LETHAL BARREL DISCHARGE,19
3/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,2599
4/1/2015,DOMESTIC ABUSE,7374
4/1/2015,GUN CRIME,181
4/1/2015,HATE CRIME,3891
4/1/2015,KNIFE CRIME,1456
4/1/2015,LETHAL BARREL DISCHARGE,24
4/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,2581
5/1/2015,DOMESTIC ABUSE,8348
5/1/2015,GUN CRIME,208
5/1/2015,HATE CRIME,4149
5/1/2015,KNIFE CRIME,1586
5/1/2015,LETHAL BARREL DISCHARGE,22
5/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,2829
6/1/2015,DOMESTIC ABUSE,8232
6/1/2015,GUN CRIME,179
6/1/2015,HATE CRIME,4156
6/1/2015,KNIFE CRIME,1624
6/1/2015,LETHAL BARREL DISCHARGE,15
6/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,2139
7/1/2015,DOMESTIC ABUSE,8863
7/1/2015,GUN CRIME,200
7/1/2015,HATE CRIME,4330
7/1/2015,KNIFE CRIME,1275
7/1/2015,LETHAL BARREL DISCHARGE,22
7/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,2077
8/1/2015,DOMESTIC ABUSE,8539
8/1/2015,GUN CRIME,185
8/1/2015,HATE CRIME,4330
8/1/2015,KNIFE CRIME,1582
8/1/2015,LETHAL BARREL DISCHARGE,22
8/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,1997
9/1/2015,DOMESTIC ABUSE,7618
9/1/2015,GUN CRIME,170
9/1/2015,HATE CRIME,3937
9/1/2015,KNIFE CRIME,1375
9/1/2015,LETHAL BARREL DISCHARGE,22
9/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,2039
10/1/2015,DOMESTIC ABUSE,8322
10/1/2015,GUN CRIME,197
10/1/2015,HATE CRIME,4387
10/1/2015,KNIFE CRIME,1495
10/1/2015,LETHAL BARREL DISCHARGE,13
10/1/2015,MISCELLANEOUS CRIMES AGAINST SOCIETY,2149
11/1/2015,DOMESTIC ABUSE,8040
11/1/2015,GUN CRIME,209
11/1/2015,HATE CRIME,4725
11/1/2015,KNIFE CRIME,1463
11/1/2015,LETHAL BARREL DISCHARGE,13
